"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000205352",1815.486,0.4034092,0.1057485,3.814798,0.0001362946,0.002049832,"PRR13"
"ENSG00000061337",69.76725,-0.9511114,0.2498268,-3.807083,0.0001406157,0.002112724,"LZTS1"
"ENSG00000169410",1124.72,0.3560492,0.09356747,3.805267,0.0001416514,0.002125754,"PTPN9"
"ENSG00000235109",81.15483,-1.891965,0.4972222,-3.805071,0.0001417637,0.002125754,"ZSCAN31"
"ENSG00000108262",1200.329,0.5549307,0.1459056,3.803355,0.0001427494,0.002138418,"GIT1"
"ENSG00000198668",4114.697,0.3492753,0.09185688,3.802386,0.0001433091,0.00214468,"CALM1"
"ENSG00000141867",1566.784,0.4340031,0.1141874,3.800798,0.0001442309,0.002156345,"BRD4"
"ENSG00000058085",74.37147,0.920017,0.2422046,3.798511,0.0001455678,0.002174186,"LAMC2"
"ENSG00000101084",636.6463,0.5079186,0.1337308,3.798069,0.0001458279,0.002175925,"C20orf24"
"ENSG00000109189",662.3929,0.6535183,0.1720825,3.797704,0.0001460427,0.002176985,"USP46"
"ENSG00000167380",327.3224,-0.6145713,0.1619141,-3.795664,0.000147249,0.002192809,"ZNF226"
"ENSG00000148926",17465.65,0.6478179,0.1707829,3.793225,0.0001487035,0.002212294,"ADM"
"ENSG00000110057",335.9166,0.6317961,0.1665885,3.792555,0.0001491054,0.002216095,"UNC93B1"
"ENSG00000275338",994.9305,0.5014201,0.1323478,3.788655,0.0001514652,0.002248962,"RAB11FIP3"
"ENSG00000183688",1173.784,0.7875443,0.207902,3.788055,0.0001518313,0.002252189,"RFLNB"
"ENSG00000157617",972.5801,1.094585,0.2889796,3.787757,0.0001520131,0.00225268,"C2CD2"
"ENSG00000103710",1065.029,-1.015883,0.2682237,-3.787448,0.0001522025,0.002253281,"RASL12"
"ENSG00000149591",12851.96,1.306546,0.3451645,3.785285,0.0001535323,0.002270748,"TAGLN"
"ENSG00000156931",831.0101,-0.3865369,0.102181,-3.782866,0.0001550328,0.002290704,"VPS8"
"ENSG00000107731",564.9873,-0.9990024,0.2642694,-3.780242,0.000156676,0.002312727,"UNC5B"
"ENSG00000198933",465.3278,0.413371,0.1093703,3.779555,0.0001571089,0.002316859,"TBKBP1"
"ENSG00000143748",279.4002,-0.5910476,0.1564098,-3.77884,0.0001575605,0.002321238,"NVL"
"ENSG00000153179",1263.193,0.4410513,0.1167235,3.7786,0.0001577124,0.002321238,"RASSF3"
"ENSG00000144136",697.1933,-0.4965932,0.1314768,-3.777041,0.0001587029,0.002332451,"SLC20A1"
"ENSG00000197119",453.6832,-0.5872956,0.1554961,-3.776916,0.0001587823,0.002332451,"SLC25A29"
"ENSG00000154864",136.3666,-1.586698,0.4202226,-3.775851,0.0001594624,0.002340173,"PIEZO2"
"ENSG00000183723",515.8132,0.7559826,0.2002454,3.77528,0.0001598279,0.002343266,"CMTM4"
"ENSG00000100116",123.0364,0.6464589,0.1714817,3.769843,0.0001633502,0.002392591,"GCAT"
"ENSG00000091164",1234.626,-0.3198307,0.08487754,-3.768142,0.0001644669,0.002406619,"TXNL1"
"ENSG00000069020",835.8446,-0.4877373,0.1295516,-3.764811,0.0001666753,0.002431886,"MAST4"
"ENSG00000077063",346.4583,-1.073745,0.2851712,-3.765262,0.0001663743,0.002431886,"CTTNBP2"
"ENSG00000112078",2399.721,0.5486543,0.1457258,3.764976,0.0001665648,0.002431886,"KCTD20"
"ENSG00000183801",1377.207,-0.9552074,0.2538271,-3.76322,0.0001677394,0.002445055,"OLFML1"
"ENSG00000135596",1348.805,0.4399323,0.1169915,3.760377,0.0001696574,0.002470635,"MICAL1"
"ENSG00000140455",433.7694,-0.4749908,0.1263475,-3.759398,0.0001703224,0.002476052,"USP3"
"ENSG00000176928",432.8607,1.965919,0.5229415,3.759349,0.0001703563,0.002476052,"GCNT4"
"ENSG00000028137",526.8707,0.8381483,0.223033,3.757957,0.0001713064,0.002485091,"TNFRSF1B"
"ENSG00000163947",561.5708,-0.9828283,0.2615166,-3.758187,0.000171149,0.002485091,"ARHGEF3"
"ENSG00000147140",5096.4,-0.4511966,0.1201361,-3.755711,0.0001728499,0.002505083,"NONO"
"ENSG00000162493",1067.402,1.756153,0.4680656,3.751938,0.0001754728,0.002540665,"PDPN"
"ENSG00000144233",695.2209,0.3112781,0.08298376,3.751072,0.0001760799,0.00254702,"AMMECR1L"
"ENSG00000165495",18.77147,-2.359075,0.6290475,-3.750234,0.0001766695,0.00255311,"PKNOX2"
"ENSG00000196214",269.2767,-0.5945004,0.1585678,-3.749186,0.0001774093,0.002561357,"ZNF766"
"ENSG00000184156",17.41233,2.49738,0.6662014,3.748686,0.0001777636,0.002564029,"KCNQ3"
"ENSG00000188916",52.4004,2.388166,0.6371261,3.748341,0.0001780083,0.002565115,"FAM196A"
"ENSG00000254726",48.63419,-1.642867,0.4383274,-3.748035,0.0001782252,0.002565798,"MEX3A"
"ENSG00000140443",4610.955,0.5272002,0.1407149,3.746584,0.0001792587,0.002578227,"IGF1R"
"ENSG00000213625",4489.694,0.3982654,0.1063095,3.746284,0.0001794737,0.00257887,"LEPROT"
"ENSG00000084652",3861.898,0.4298343,0.1147667,3.745287,0.0001801878,0.002584938,"TXLNA"
"ENSG00000135241",966.2976,0.56758,0.1515479,3.745218,0.0001802373,0.002584938,"PNPLA8"
"ENSG00000148110",1518.053,0.4228929,0.113074,3.739965,0.0001840456,0.002634565,"MFSD14B"
"ENSG00000198873",3127.706,0.5039229,0.1347374,3.740037,0.0001839928,0.002634565,"GRK5"
"ENSG00000146263",225.3458,-0.5379457,0.1438574,-3.739436,0.0001844338,0.00263763,"MMS22L"
"ENSG00000116679",737.1506,-0.6932371,0.1854015,-3.739112,0.0001846712,0.002638534,"IVNS1ABP"
"ENSG00000148672",2951.375,0.2885818,0.07718807,3.738684,0.0001849859,0.002640539,"GLUD1"
"ENSG00000161091",887.3211,0.5065838,0.1355355,3.737646,0.0001857513,0.002648968,"MFSD12"
"ENSG00000122863",1057.129,0.8570172,0.2294043,3.735838,0.0001870909,0.002665561,"CHST3"
"ENSG00000197771",1099.905,0.4280822,0.1146639,3.733365,0.0001889386,0.002686832,"MCMBP"
"ENSG00000276130",117.0763,0.9545218,0.2556729,3.733371,0.0001889339,0.002686832,"SLC22A18"
"ENSG00000133816",2052.25,1.05509,0.2827806,3.731124,0.0001906276,0.002708307,"MICAL2"
"ENSG00000072163",673.4853,1.294804,0.347184,3.729445,0.0001919022,0.002723861,"LIMS2"
"ENSG00000259171",877.9883,0.759987,0.2038485,3.728196,0.0001928556,0.00273483,NA
"ENSG00000185338",223.104,-1.179086,0.3163267,-3.727432,0.0001934404,0.002737996,"SOCS1"
"ENSG00000197265",546.8352,0.3830944,0.1027722,3.727608,0.0001933057,0.002737996,"GTF2E2"
"ENSG00000170242",2897.626,0.5326923,0.14297,3.725903,0.0001946169,0.002752076,"USP47"
"ENSG00000182704",1047.437,0.9341168,0.2507542,3.72523,0.0001951375,0.002756863,"TSKU"
"ENSG00000107611",47.69074,-1.625723,0.436799,-3.721901,0.0001977289,0.002785935,"CUBN"
"ENSG00000132170",520.7181,1.069041,0.2872317,3.721877,0.0001977471,0.002785935,"PPARG"
"ENSG00000181827",811.7524,-0.6211198,0.1668706,-3.722164,0.000197523,0.002785935,"RFX7"
"ENSG00000258691",47.90136,-1.530834,0.4113838,-3.721181,0.0001982932,0.002791031,NA
"ENSG00000170485",370.8515,0.9961736,0.2678146,3.719639,0.000199508,0.002805524,"NPAS2"
"ENSG00000166912",662.4237,0.759953,0.2044096,3.717795,0.0002009694,0.002823452,"MTMR10"
"ENSG00000103876",383.9886,-0.5162466,0.1389452,-3.715469,0.0002028268,0.002846906,"FAH"
"ENSG00000244462",1157.695,0.5445679,0.1465877,3.714963,0.000203233,0.002849967,"RBM12"
"ENSG00000108846",420.7835,0.9892794,0.2664152,3.7133,0.0002045745,0.002866125,"ABCC3"
"ENSG00000112290",641.2991,0.5739719,0.1547021,3.710175,0.0002071158,0.002899047,"WASF1"
"ENSG00000095637",48.70348,1.514756,0.4083641,3.709328,0.0002078099,0.002906076,"SORBS1"
"ENSG00000102218",431.4365,0.5327954,0.1437358,3.70677,0.0002099196,0.002932871,"RP2"
"ENSG00000121879",1165.414,0.5642162,0.1522667,3.705447,0.0002110184,0.002945506,"PIK3CA"
"ENSG00000112320",318.2975,-0.9830846,0.2653486,-3.70488,0.0002114907,0.002948149,"SOBP"
"ENSG00000134769",324.3228,-0.8519935,0.2299861,-3.704544,0.0002117715,0.002948149,"DTNA"
"ENSG00000213626",13121.91,1.380487,0.3726495,3.70452,0.0002117917,0.002948149,"LBH"
"ENSG00000213846",154.5608,-0.9826473,0.2653045,-3.703847,0.0002123545,0.002953268,NA
"ENSG00000122490",739.9589,0.4000126,0.1080141,3.703336,0.0002127827,0.002956508,"PQLC1"
"ENSG00000105971",1495.866,0.5978365,0.1614986,3.701806,0.0002140699,0.002971667,"CAV2"
"ENSG00000070087",2488.087,-0.3527884,0.09536512,-3.699345,0.0002161569,0.002997891,"PFN2"
"ENSG00000083097",528.3777,-0.5411339,0.1463764,-3.696866,0.0002182772,0.003021762,"DOPEY1"
"ENSG00000182580",435.1503,-1.318293,0.3565784,-3.697062,0.0002181091,0.003021762,"EPHB3"
